,湖北,武汉,黄石,十堰,宜昌,襄阳,鄂州,荆门,孝感,荆州,黄冈,咸宁,随州,恩施,仙桃,潜江,天门,神农架
2011,19594.19,6756.2,925.96,851.25,2140.69,2132.22,490.89,942.59,958.16,1043.12,1045.11,652.01,517.99,418.19,378.45,378.21,274.52,14.53
2012,22250.16,8003.82,1040.95,955.68,2508.89,2501.96,560.39,1085.26,1105.16,1196.02,1192.88,760.99,590.52,482.19,444.2,441.76,321.22,16.81
2013,24668.49,9051.27,1142.03,1080.59,2818.07,2814.02,630.94,1202.61,1238.93,1334.93,1332.55,872.11,661.94,552.48,504.28,492.7,365.19,18.57
2014,27379.22,10069.48,1218.56,1200.82,3132.21,3129.26,686.64,1310.59,1354.72,1480.49,1477.15,964.25,723.45,612.01,552.27,540.22,401.86,20.24
2015,29550.19,10905.6,1228.1,1300.12,3384.8,3382.12,730.01,1388.46,1457.2,1590.5,1589.24,1030.07,785.26,670.81,597.61,557.57,440.1,20.95
2016,32665.38,12051.86,1320.58,1442.55,3766.03,3746.62,804.33,1538.97,1593.72,1735.83,1734.39,1111.64,855.55,736.71,648.82,610.41,472.24,23.07
2017,36522.95,13410.34,1479.4,1632.32,3857.17,4064.9,905.92,1664.17,1742.23,1922.18,1921.83,1234.86,935.72,801.23,718.66,671.86,528.25,25.51
2018,40860.09,14847.29,1587.33,1747.82,4064.18,4309.79,1005.3,1847.89,1912.9,2082.18,2035.2,1362.42,1011.19,870.95,800.13,755.78,591.15,28.59
